Swedish,English 
Hans stackars hund lever fortfarande.,His poor dog is still alive.
Han är helt hopplöst dålig.,He is bad beyond correction.
Jag vill förändra världen.,I want to change the world.
Hur ofta äter du fisk?,How often do you eat fish?
Jag börjar så sakta tycka om Ken.,I am beginning to like Ken little by little.
Jag äter med händerna.,I eat with my hands.
Jag skall gå till stranden.,I'll go to the beach.
Har far kommit hem ännu?,Has Father come home yet?
Jag föredrar att åka tåg framför att flyga.,I prefer traveling by train to flying.
Så fort som tjejen såg sin mamma så började hon att böla.,"The instant the girl saw her mother, she burst out crying."
Gör honom inte besviken.,Don't let him down.
Jag ser ut som en ren.,I look like a reindeer.
Endast kärlek kan krossa ditt hjärta.,Only love can break your heart.
Det är bara en teori.,It's just a theory.
Vi såg inget konstigt.,We saw nothing strange.
Många utlänningar pratar bra japanska.,Many foreigners speak good Japanese.
Jag fick ett brev från min vän.,I got a letter from my friend.
Det skulle vara trevligt om jag kunde resa till Japan.,It would be nice if I could travel to Japan.
Jag målade en bild åt dig.,I painted a picture for you.
Han förstod inte hennes skämt.,He did not understand her joke.
Du sa att du var lycklig.,You said that you were happy.
De är alla oskyldiga barn.,They are all innocent children.
Var täckte du över dom?,Where did you cover them?
Många människor tror att fladdermöss är fåglar.,A lot of people think that bats are birds.
Jag tror inte att det kommer att regna i eftermiddag.,I do not think it will rain this afternoon.
Jag kan inte vara säker.,I can't be sure.
Sluta bete dig som ett barn.,Quit acting like a child.
Min storebror är lärare.,My older brother is a teacher.
Berätta om ditt dagliga liv.,Tell me about your daily life.
Stäng dörren.,Lock the door.
Stäng dörren.,Close the door.
Hon är nästan sextio år gammal.,She is almost sixty years old.
Jag väntar på att affärens ska öppna.,I am waiting for the store to open.
Var kommer det där ärret ifrån?,What's that scar from?
Den gamle mannen satte sig ner.,The old man sat down.
Lugna ner dig.,Calm down.
Jag har byggt ett nytt hus.,I built a new house.
Är du hungrig över huvud taget?,Are you hungry at all?
Hans mål är att bli en lärare.,His objective is to become a teacher.
Han var van att flyga ensam och hade i sin fantasi flugit rutten många gånger.,"He was accustomed to flying alone, and he had flown this route in his imagination many times."
Hon oroar sig för sin vikt.,She worries about her weight.
Jag såg mig omkring men fann ingenting.,"I looked around, but saw nothing."
"Jag ämnade att lyckas, men kunde inte.","I intended to succeed, but I could not."
Nästan alla hundar lever.,Almost all dogs are alive.
Du måste inte bestämma dig just nu.,You don't have to decide right now.
Min farfar hör lite dåligt.,My grandfather is a bit hard of hearing.
Kan du prata kinesiska?,Can you speak Chinese?
Min morfar hör lite dåligt.,My grandfather is a bit hard of hearing.
Jag hoppas att du har rätt.,I hope you're right.
Jag vill be om ursäkt.,I want to apologize.
Jag tänker på dig hela tiden.,I think of you all the time.
Jag avskyr politik.,I abhor politics.
Han låg på rygg.,He was lying on his back.
Han låg på rygg.,He laid on his back.
Min mor brukade läsa sagor för mig.,I had fairy tales read by my mother.
"Om det blir några svårigheter, ring mig!",If there are difficulties give me a call!
De här skorna passar perfekt.,These shoes fit perfectly.
Jag gillar varken den ena eller den andra kakan.,I like neither of the cakes.
Försöker du stöta på mig?,Are you trying to hit on me?
Han vill spela fotboll i eftermiddag.,He wants to play soccer this afternoon.
Jag letade efter mitt rum.,I looked for my room.
Var är äpplen?,Where are the apples?
Hans dumma svar överraskade alla.,His stupid answer surprised everybody.
Hon har platinablont hår.,She has platinum blonde hair.
Två andraklassbiljetter till A är du snäll.,"Two second-class tickets to A, please."
Tack! Ni är fantastiska!,"Thanks, you're fantastic!"
Jag skriver en sång på tyska.,I am writing a song in German.
Jag skriver en sång på tyska.,I'm writing a song in German.
Hon var på humör för en promenad.,She was in the mood for a walk.
Kan du tala kinesiska?,Can you speak Chinese?
Ingen är rik i mitt land.,Nobody is rich in my country.
Jag missade tåget med bara några minuter.,I missed the train by only a few minutes.
"Jag är japan, men du är amerikan.","I am Japanese, but you are an American."
Jag tycker inte om ägg.,I don't like eggs.
Någon måste ha tagit mitt paraply av misstag.,Someone must have taken my umbrella by mistake.
Jag vill ha en gitarr.,I want a guitar.
Rätta mig om jag har fel.,Correct me if I'm wrong.
Fotboll är populärare än tennis.,Soccer is more popular than tennis.
Hur många armar har en bläckfisk?,How many arms does a squid have?
Hur många armar har en bläckfisk?,How many arms does an octopus have?
Tåget avgick i tid.,The train left the station on time.
Han är världens rikaste man.,He is the richest man on earth.
Han förnekar ingenting för sina barn.,He denies nothing to his children.
Jag gav tiggaren alla pengar jag hade.,I gave the beggar all the money I had.
När bröt andra världskriget ut?,When did World War II break out?
Han sjöng en sång.,He sang a song.
Han tillgodogjorde det han hade lärt sig.,He assimilated what he was taught.
Jag fick A på min uppsats.,I got an A on my essay.
Hon har en del egna pengar.,She has some money of her own.
Han sköt först!,Han shot first!
Får jag gå på toaletten?,May I go to the toilet?
Gör det er ledsna?,Does that make you sad?
Jag tyckte att jag var lycklig.,I thought I was happy.
Öppna inte presenten än.,Don't open the present yet.
Jag tvättade medan spädbarnet sov.,I did the washing while the baby was sleeping.
Din dotter går på droger.,Your daughter's on drugs.
Du måste förbereda dig för det värsta!,You must prepare yourself for the worst.
Jag tror inte att det kommer att regna i morgon.,I don't think that it will rain tomorrow.
Kan någon bevisa riktigheten av det?,Can anyone verify that?
Lugna ner er.,Calm down.
En ung flicka satt vid ratten.,A young girl was at the steering wheel.
Jag kan inte bryta mig fri.,I can't break free.
Sluta reta mig.,Don't pick at me.
Ditt förslag är lite extremt.,Your proposal is a bit extreme.
Jag behöver den i morgon.,I need it by tomorrow.
Fattig som hon var gav hon honom det lilla hon hade ut av sina pengar.,"Poor as she was, she gave him what little money she had."
Han är min typ!,He is my type!
Vi vill inte skrämma bort barnen.,We don't want to scare the children away.
Han promenerade hem.,He walked home.
De lyder inte alltid sina föräldrar.,They don't always obey their parents.
Vill du ha fisk?,Do you want fish?
De har läst en intressant bok.,They have been reading an interesting book.
De är dyra.,They're expensive.
Vår plan kommer att fungera bra.,Our plan will work out well.
En gång i tiden trodde man att människor inte kunde flyga.,Once we thought that Man couldn't fly.
Jag vill inte verka dum.,I don't want to look stupid.
Jag skall gå till parken.,I will go to the park.
Hon kopierade en mening.,She copied a sentence.
Var är de andra flickorna?,Where are the other girls?
Det finns en annan möjlighet också.,There's also another possibility.
Jag skulle göra vad som helst för kärleken.,I would do anything for love.
Stå inte.,Don't stand.
Exakt vad är det där?,What exactly is that?
Jag älskar äpplen.,I love apples.
Jag är inte säker på om det här är rätt.,I'm not sure if this is correct.
Varje morgon läser jag om vädret i tidningen.,Every morning I read about the weather in the newspaper.
Han bestämde sig för den röda bilen.,He decided on the red car.
Han dog innan ambulansen kom.,He died before the ambulance arrived.
Jag ska studera engelska i eftermiddag.,I'm going to study English this afternoon.
Jag lär mig svenska och tyska.,I am learning Swedish and German.
Skadades någon?,Did somebody get hurt?
Skadades någon?,Did anybody get hurt?
Kan du kolla om telefonen är trasig?,Can you check if the phone is out of order?
Njöt du av det där?,Did you enjoy that?
Vi är bekanta med den här sången.,We are familiar with this song.
Hon sjöng en sång.,She was singing a song.
Jag skulle vilja hyra en bil.,I would like to hire a car.
Jag steg upp tidigt igår.,I got up early yesterday.
Jag har tappat bort min penna.,I've lost my pen.
De erbjöd gästerna lite kaffe.,They offered the guests some coffee.
Jag kan knappt se utan mina glasögon.,I can hardly see without my glasses.
Jag älskar det norska språket!,I love Norwegian!
Jag älskar det norska språket!,I love the Norwegian language!
Jag visste vad du menade.,I knew what you meant.
Vem förrådde oss?,Who betrayed us?
Jag klarar av att försörja min familj.,I manage to support my family.
Den här boken verkar intressant.,This book seems interesting.
Men det var förstås länge sedan.,But of course that was a long time ago.
Vi såg något vitt i mörkret.,We saw something white in the dark.
"Jag gick inte, utan stannade hemma.","I didn't go, but stayed at home."
Sluta trakassera mig.,Stop harassing me.
Sluta besvära mig.,Stop harassing me.
Var köpte du denne klänning?,Where did you buy that dress?
Hon är inte vackrare än deras mor.,She's not more beautiful than their mother.
Barnet tigger alltid om någonting.,The child is always begging for something.
De skrattade åt min idé.,They laughed at my idea.
Hon är min typ.,She's my type.
Sluta plåga mig.,Stop badgering me.
Hon övergav sina barn.,She abandoned her children.
Jag kan inte heller dansa.,I can't dance either.
Jag kan inte dansa heller.,I can't dance either.
Snälla ge mig någonting att äta.,Please give me something to eat.
Det var inte förrän igår jag fick nyheterna.,It was not until yesterday that I got the news.
